publishedAt,categoryId,channelId,channelTitle,vidTitle,tags,viewCount,likeCount,commentCount,thumbnail hq,thumbnail mq,thumbnail lq,videoId
2022-12-01T15:42:10Z,1,UCm3hAp1m1xlAz0ve_EKAo4g,Talking Tom,,"['Talking Tom', 'Talking Angela', 'Talking Hank', 'Outfit7', 'game', 'app', 'gameplay', 'Funny Cat', 'Funny Dog', 'Cartoons for kids', 'Childern cartoons']",7755084,32287,0,https://i.ytimg.com/vi/WV5KdSWrLrc/hqdefault_live.jpg,https://i.ytimg.com/vi/WV5KdSWrLrc/mqdefault_live.jpg,https://i.ytimg.com/vi/WV5KdSWrLrc/default_live.jpg,WV5KdSWrLrc
2022-12-07T14:56:38Z,25,UCahpxixMCwoANAftn6IxkTg,AlArabiya العربية,Al-Arabiya Livestream العربية البث الحي المباشر,"['العربية', 'مباشر', 'سياسة', 'أخبار', 'اخبار', 'تقرير', 'al jazeera', 'alarabiya', 'البث الحي', 'البث الحي لقناة العربية', 'live stream', 'الجزيرة', 'الجزيرة مباشر', 'الحدث', 'قناة الجزيرة', 'سكاي نيوز', 'قناة العربية', 'نادين خماش', 'صهيب شراير', 'لارا نبهان', 'خالد المدخلي', 'سارة الدندراوي', 'عادل عيدان', 'بودكاست', 'live', 'الجزيره', 'العربيه', 'تحقيقات', 'وثائقي', 'لايف', 'تطبيق', 'تليجرام', '2021', 'google', 'بث مباشر', 'vod', 'livestream', 'البث المباشر', 'ستريم', 'موجز', 'نشرة الاخبار', 'واتساب', 'بايدن', 'الكونغرس الامريكي', 'قطر', 'برودكاست', 'السعودية', 'العربية بث مباشر', 'كورونا', 'فيروس']",7664104,14154,0,https://i.ytimg.com/vi/_rewJPptlBg/hqdefault_live.jpg,https://i.ytimg.com/vi/_rewJPptlBg/mqdefault_live.jpg,https://i.ytimg.com/vi/_rewJPptlBg/default_live.jpg,_rewJPptlBg
2022-12-09T03:30:00Z,20,UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,I OPENED MY OWN STORE IN VILLAGE | TRADER LIFE SIMULATOR 2 GAMEPLAY #1,"['trader life simulator', 'simulation gameplay', 'driving', 'store', 'craft', 'repair', 'funny', 'adventure', 'ujjwal', 'techno gamerz']",7121285,380133,17280,https://i.ytimg.com/vi/aAg-u_Q5IU0/hqdefault.jpg,https://i.ytimg.com/vi/aAg-u_Q5IU0/mqdefault.jpg,https://i.ytimg.com/vi/aAg-u_Q5IU0/default.jpg,aAg-u_Q5IU0
2022-07-06T03:23:36Z,10,UCNS3dqFGBPhxHmOigehpBeg,Love YourSelf,"Yспокаивающая музыка для нервов 🌿 лечебная музыка для сердца и сосудов, релакс, музыка для души","['Музыка Для Массажа', 'музыка для медитации', 'Музыка лечебная', 'музыка исцеляющая', 'музыка релакс', 'музыкальная терапия', 'музыкотерапия', 'музыка для души', 'музыка для сна', 'успокаивающая музыка', 'расслабляющая музыка', 'колыбельная', 'музыка рейки', 'музыка для сеанса', 'музыка для гармонии', 'музыка для нервной системы', 'музыка ласковая', 'музыка нежная', 'музыка грустная', 'музыка красивая', 'музыка для здоровья', 'снятия стресса', 'йога', 'Звуки Природы', 'relaxing music', 'sleep', 'love yourself', 'beautiful music']",6221026,70107,0,https://i.ytimg.com/vi/ouEzZbj1BkQ/hqdefault_live.jpg,https://i.ytimg.com/vi/ouEzZbj1BkQ/mqdefault_live.jpg,https://i.ytimg.com/vi/ouEzZbj1BkQ/default_live.jpg,ouEzZbj1BkQ
2022-11-15T09:39:29Z,25,UCknLrEdhRCp1aegoMqRaCZg,DW News,DW News livestream | Headline news from around the world,"['DW News', 'news live', 'news', 'news english', 'latest news', 'breaking news', 'english news']",4644325,,,https://i.ytimg.com/vi/ammKkVgtIHw/hqdefault_live.jpg,https://i.ytimg.com/vi/ammKkVgtIHw/mqdefault_live.jpg,https://i.ytimg.com/vi/ammKkVgtIHw/default_live.jpg,ammKkVgtIHw
2016-12-16T06:50:10Z,26,UC9RxmT78rlDD2Q8OTt7q9Mw,GoodRx,GoodRx Stories: Dr.Sharon,"['Coupon', 'Medication', 'Prescription', 'Doctor', 'Pharmacy', 'Patient', 'Save money', 'Lowest price', 'Asthma medication']",4484804,39,,https://i.ytimg.com/vi/rptxbfNGPwI/hqdefault.jpg,https://i.ytimg.com/vi/rptxbfNGPwI/mqdefault.jpg,https://i.ytimg.com/vi/rptxbfNGPwI/default.jpg,rptxbfNGPwI
2022-11-21T11:21:08Z,24,UCzuQ_l5TMSd4TuOrWbHYodg,Antiks Cartoons,Antiks LIVE 🔴 Mystic Moe | Funny Cartoons For all the family,"['antiks', 'antics', 'ants', 'cartoons for children', 'cartoons for kids', 'animation', 'funny videos', 'funny cartoons', 'funny cartoons for kids', 'oddbods', 'insectibles', 'antiks channel', 'antiks cartoon', 'antics cartoon', 'antiks official', 'ants movie', 'antiks cartoons', 'joey', 'boo', 'Oddbods cartoon', 'oddbods ants cartoon', 'fighter ants', 'fire ants', 'antiks funny cartoon', 'funny silent cartoon', 'silent cartoon', 'tom and jerry', 'funny cartoons for the family', 'top USA cartoons', 'english cartoons', 'cartoons USA']",4482954,13418,0,https://i.ytimg.com/vi/AT4QekZDpX0/hqdefault_live.jpg,https://i.ytimg.com/vi/AT4QekZDpX0/mqdefault_live.jpg,https://i.ytimg.com/vi/AT4QekZDpX0/default_live.jpg,AT4QekZDpX0
2022-11-08T20:59:45Z,10,UCtmY49Zn4l0RMJnTWfV7Wsg,Jacob Collier,THE AUDIENCE CHOIR GOES CHROMATIC! When in Rome ❤️,,4459301,334844,4491,https://i.ytimg.com/vi/xJABN80sPfo/hqdefault.jpg,https://i.ytimg.com/vi/xJABN80sPfo/mqdefault.jpg,https://i.ytimg.com/vi/xJABN80sPfo/default.jpg,xJABN80sPfo
2022-12-13T12:32:01Z,25,UC0Um3pnZ2WGBEeoA3BX2sKw,HUM News,"🛑HUM NEWS LIVE: Latest Pakistan News, Live Updates, Headlines, Breaking News, Exclusive Coverage","['HUM News Live', 'hum news', 'live news', 'top news', 'breaking news', 'imran khan', 'pti long march', 'Haqeeqi Azadi March', 'hum news live streaming', 'live streaming', 'pakistan news', 'news pakistan', 'pakistan news live', 'breaking', 'latest news', 'PM Shehbaz Sharif', 'Rana Sanaullah', 'Arshad Sharif', 'Arshad Sharif Kenya', 'Imran Riaz Khan', 'Maryam Aurangzeb', 'Pakistan t20 worldcup', 't20 WC22']",4011843,9318,0,https://i.ytimg.com/vi/djYuo6X6EYY/hqdefault_live.jpg,https://i.ytimg.com/vi/djYuo6X6EYY/mqdefault_live.jpg,https://i.ytimg.com/vi/djYuo6X6EYY/default_live.jpg,djYuo6X6EYY
2022-11-11T03:10:00Z,10,UCS6PyDxjdhb6Q2XRJMRdEgg,Xavi Jordan,10:10 Xavi Jordan x  Katteyes - (Official Music Video),"['xavi', 'xavi jordan', '1010', '10:10', 'katteyes xavi jordan', 'katteyes 06 06', 'xavi jordan 1010', 'katteyes 1010', 'iamferv']",3897955,94644,1584,https://i.ytimg.com/vi/Jo7ymlWJiYg/hqdefault.jpg,https://i.ytimg.com/vi/Jo7ymlWJiYg/mqdefault.jpg,https://i.ytimg.com/vi/Jo7ymlWJiYg/default.jpg,Jo7ymlWJiYg
